"y","x_cont","x_cat"
1,33.2058907291852,"A"
4,17.2030923764772,"C"
2,29.3923811501927,"A"
1,27.1525121505142,"A"
2,21.333603847154,"A"
NA,2.83910967990544,"A"
2,20.6485320254332,"B"
NA,17.7987773686491,"B"
NA,29.1355444129731,"A"
2,23.262090181599,"B"
5,23.9178529566207,"A"
2,20.6956672140639,"C"
NA,25.7856340059383,"A"
4,25.7418347557105,"A"
5,2.53118553871704,"A"
3,41.4700149929703,"A"
16,34.1640814584997,"B"
0,30.1756433830789,"A"
4,19.9528116959974,"A"
0,34.8974677762582,"B"
0,24.7132798590976,"A"
NA,26.3531842307416,"A"
NA,14.079711202287,"B"
10,42.6582476120139,"B"
3,28.4820680822544,"A"
17,47.0808383464199,"A"
9,45.3094452723732,"A"
1,28.581458372593,"B"
0,34.4532816177517,"A"
13,45.256289865063,"A"
4,22.7103308254375,"A"
NA,29.6639202561255,"B"
5,25.4527642523605,"A"
0,31.3278235943791,"A"
NA,29.8243281282763,"C"
0,39.64593749518,"A"
1,33.9349285072787,"A"
1,19.0822027078263,"B"
6,33.772533103574,"B"
NA,19.7509441894196,"A"
0,16.4274614237656,"B"
5,35.7799877400621,"A"
3,15.9577821402693,"B"
5,31.0671410214768,"B"
NA,19.6634145935794,"C"
6,42.1814116350375,"A"
5,35.1178611785072,"A"
4,23.9750227713763,"B"
8,35.9936221871451,"B"
NA,32.2648443555695,"A"
