Diam	Time	Price
10.7	47.65	144
14	63.13	215
9	58.76	105
8	34.88	69
10	55.53	134
10.5	43.14	129
16	54.86	155
15	44.14	99
6.5	17.46	38.5
5	21.04	36.5
25	109.38	260
10.4	17.67	54
7.4	16.41	39
5.4	12.02	29.5
15.4	49.48	109
12.4	48.74	89.5
6	23.21	42
9	28.64	65
9	44.95	115
12.4	23.77	49.5
7.5	20.21	36.5
14	32.62	109
7	17.84	45
9	22.82	58
12	29.48	89
5.5	15.61	30
6	13.25	31
12	45.78	119
5.5	26.53	22
14.2	37.11	109
11	45.12	99
16	26.09	99
13.5	68.63	179
11.1	33.71	99
9.8	44.45	89
10	23.74	75
13	86.42	199
13	39.71	93
11.7	26.52	65
12.3	33.89	74
19.5	64.3	165
15.2	22.55	99
10	31.86	43.5
11	53.18	94
17.8	74.48	189
11.5	34.16	75
12.7	31.46	59.5
8	21.34	42
7.5	20.83	23
9	20.59	52.5
14	33.7	99
12.4	32.9	89
8.8	27.76	65
8.5	30.2	54.5
6	20.85	24.5
11	26.25	52
11.1	21.87	62.5
14.5	23.88	89
5	16.66	21.5
