"claims"	"age"	"income"	"urban"
2	29	11.69	0
0	24	11.19	0
0	20	10.68	1
0	76	6.24	0
0	63	9.81	0
0	35	5	0
7	65	4.89	1
1	66	11.99	1
0	23	11.87	0
0	47	6.8	0
2	23	9.62	1
0	53	5.29	1
1	70	4.36	1
2	46	8.18	1
0	54	5.4	0
1	78	2.58	1
0	63	11.82	0
1	59	8.88	0
0	57	10.62	1
0	71	6.62	1
0	59	3.26	0
0	72	8.8	0
1	79	2.2	0
1	63	3.63	0
0	46	10.96	0
0	64	3.53	0
1	68	4.59	0
1	49	4.44	0
0	18	5.12	0
1	51	4.21	0
0	32	2.31	1
0	27	11.03	0
0	22	11.59	0
0	22	11.43	1
1	72	6.53	0
0	34	6.38	1
1	66	2.5	0
0	75	5.6	0
0	67	10.97	0
0	19	5.71	1
0	44	7.03	0
0	79	7.28	1
0	28	3.7	0
0	54	7.39	0
0	34	3.1	1
0	63	8.14	0
0	52	7.45	1
1	59	4.28	1
0	30	11.02	0
0	74	3.99	1
0	47	6.22	1
0	48	10.84	1
3	68	4.38	1
1	51	4.92	1
0	77	10.76	0
1	34	8.19	1
0	26	10.57	0
0	68	6.77	1
0	67	10.94	1
1	26	3.69	1
1	79	8.21	0
0	75	9.23	1
1	76	3.9	0
0	75	7.69	1
0	39	8.72	1
0	63	11.19	1
0	64	5.26	1
1	49	7.47	0
1	55	2.05	0
0	57	5.7	0
1	77	8.38	0
3	69	8.1	1
0	19	10.18	1
0	18	3.18	0
1	35	8.63	1
0	24	4.02	1
2	44	7.87	0
0	24	8.95	1
0	53	7.28	1
0	22	5.7	1
0	28	8.98	0
1	44	6.74	0
4	48	4.31	1
0	59	6.54	0
0	28	2.79	0
0	45	4.58	1
0	50	7.54	1
1	76	2.22	1
1	59	4.11	1
1	49	8.36	1
1	74	9.17	1
1	40	9.77	1
0	38	2.73	0
0	61	2.99	0
0	56	11.46	1
0	79	11.31	1
0	54	11.21	1
0	49	8.5	1
1	67	3.56	0
0	57	11.1	1
0	32	11.22	1
0	49	3.69	1
0	24	2.73	1
0	31	7.66	0
0	59	5.65	1
0	73	6.6	0
0	65	6.65	0
0	42	9.79	1
0	20	10.24	0
0	71	4.82	1
1	40	9.3	0
2	28	6.96	1
1	78	2.66	1
0	76	2.38	0
0	48	4.38	0
2	79	4.18	0
0	20	6.22	0
0	25	7.5	0
0	77	9.14	1
0	44	4.4	0
0	44	10.96	0
2	66	6.83	0
1	42	4.63	1
1	45	5.2	0
1	45	8.64	0
1	71	9.28	0
0	30	7.71	1
0	32	10.79	0
1	61	6.09	1
1	58	4.05	0
0	68	6.71	0
0	68	5.79	0
0	48	4.48	0
0	55	11.25	0
1	30	6.66	0
0	58	2.14	0
1	28	11.43	1
0	74	5.75	1
2	63	2.08	0
0	68	11.81	1
1	77	5.78	0
1	79	11.86	0
2	70	3.4	1
0	72	7.62	1
1	67	9.94	1
2	39	3.94	1
0	41	9.11	0
1	70	7.66	1
0	62	2.1	1
0	29	4.57	1
1	68	6.71	0
0	61	11.27	0
0	43	11.95	1
1	70	4.1	0
0	37	7.45	1
1	53	8.45	1
2	78	11.01	0
1	45	9.32	0
0	72	8.1	1
1	76	4.24	0
0	33	11.16	1
0	66	10.03	0
1	61	5.12	0
1	19	4.27	1
0	54	8.58	0
0	36	9.36	1
0	30	6.65	1
0	56	10.64	1
0	47	8.75	0
0	73	3.61	0
0	22	2.12	0
0	24	10.66	1
0	33	3.01	1
1	61	5.12	0
0	60	6.34	1
0	36	8.16	0
1	55	5.39	1
0	73	7.8	1
0	43	10.3	0
0	61	5.35	0
2	62	5.82	1
1	55	8.06	1
0	27	6.96	1
0	57	3.09	0
1	27	10.46	0
0	55	6.46	0
1	44	9.5	0
0	68	9.96	1
1	46	5.91	1
2	47	2.15	0
1	40	9.43	0
2	66	2.68	0
2	71	7.32	0
0	38	3.23	1
0	19	8.76	1
3	40	2.56	1
0	36	9.98	0
1	36	8.63	0
5	69	4.44	1
0	30	3.6	0
